214,Chad Newbrough Steacy,University of Georgia,41.7245247,44.7792133
215,Anna Wiley Moore,University of Oregon,33.4239891,-111.8867174
216,Gale Patricia Coskan-Johnson,Brock University,43.6521257,-79.4364757
217,Vincent Zubedaar  Kuuire,Queen's University,40.7282239,-73.7948516
218,Aquila  Flower,Western Washington University,0,0
219,Oronde  Drakes,University of Iowa,33.4242541,-111.8891072
220,Han  Li,University of Utah,33.4249307,-111.8884532
221,Kevin  Bernstein,Pennsylvania State University,40.7933949,-77.8600012
222,Mark I. Wilson,Michigan State University,42.726655,-84.46992999999999
223,Jan  Balke,,0,0
224,Wendy  Brown,University of California Berkeley,37.8764984,-122.2804342
225,Seo Young  Park,Scripps College,51.477781,-2.631631
226,Gregory A. Pope,Montclair State University,40.8596828,-74.20061559999999
227,Narciss  M.Sohrabi,universite parisX,48.8610181,2.3140934
228,Brita  Lorentzen,Cornell University,33.6493852,-117.8355156
229,Seth  Appiah-Opoku,University Of Alabama,35.0554018,-84.98507119999999
230,Giacomo  Galli,Wageningen University,51.9691868,5.6653948
231,David  Sweeting,,0,0
232,Joshua F. Inwood,University of Tennessee,14.6147272,121.1011984
233,Carter  Koppelman,University of California - Berkeley,37.8764984,-122.2804342
234,Kelly  Hopping,Colorado State University,40.1531694,-105.1257457
235,Shujuan  Li,Utah State University,40.7609264,-111.8270486
236,Sheryl-Ann  Simpson,University of California - Davis,38.5400714,-121.7715459
237,Tom  Evans,Indiana University,39.1670467,-86.5269373
238,Sian  Butcher,University of Minnesota,46.9059,-95.05889999999999
239,Johannes  Dreher,Technical University Munich,48.14957709999999,11.5671215
240,Debarchana  Ghosh,University of Connecticut,14.6014098,121.0518187
241,Mona  Atia,George Washington University,38.8991756,-77.0470916
242,Stroma  Cole,,0,0
243,Clay  Tucker,Louisiana State University,31.74039,-93.127179
244,Meredith  Whitten,London School of Economics,51.3949678,-0.2720117
245,Heather  Sander,University of Iowa,33.4242541,-111.8891072
246,Matthew  Gandy,University of Cambridge,52.20166709999999,0.1177882
247,Ryan Patrick Hile,University of Utah,33.4249307,-111.8884532
248,Sean Francis Kennedy,UCLA,40.5382913,-78.3528584
249,Donald  McNeill,University of Western Sydney,-33.9380986,150.9909189
250,Maria  Gravari,IREST,37.050828,98.72068
251,Emily  Van Houweling,University of Denver,14.6253306,121.0474289
252,April L. Colette,University of Illinois at Urbana-Champaign,0,0
253,Neng  Wan,University of Utah,33.4249307,-111.8884532
254,Kathleen  Stewart,University of Maryland,14.6249546,121.0457027
255,Tatjana  Thimm,HTWG Konstanz,47.6674137,9.169757499999999
256,Amy  Shimshon-Santo,CREO,42.788222,-8.9806352
257,Julia M H Sizek,University of California, Berkeley,37.8764984,-122.2804342
258,Dan  Brockington,University of Manchester,64.90788089999999,-147.7117155
259,Dean  Kyne,The University of Texas Rio Grande Valley,0,0
260,Jim  Wunderman,Bay Area Council,27.7156299,-82.3561606
261,Nirmal  Bhagabati,World Wildlife Fund,31.769887,-106.4818279
262,Travis  Bost,University of Toronto,43.659598,-79.3947916
263,Dawn M. Drake,Missouri Western State University,38.6586865,-90.34534459999999
264,Karly  Schmidt,UNC Department of Geography,0,0
265,Rodolfo  Leyva,,0,0
266,Nimrod  Luz,Western Galilee College,0,0
267,Gretchen Leigh Sneegas,University of Georgia,41.7245247,44.7792133
268,Trevis J. Matheus,Indiana University,39.1670467,-86.5269373
269,Andonea  Dickson,The University of Sydney,14.6098958,121.1009129
270,Robert  Fletcher,Wageningen University,51.9691868,5.6653948
271,Zachary Paul Sugg,University of Arizona School of Geography and Development,0,0
272,Sam  Adamo,,0,0
273,Joshua  Shake,University of Michigan,42.320138,-83.230993
274,Egbert  Van Der Zee,University of Leuven,50.8798438,4.7005176
275,Werner  Kuhn,UCSB,34.4075814,-119.8449959
276,Jean-Fran?ois  Staszak,Geneva University,38.275742,-104.553089
277,André Reyes Novaes,State University of Rio de Janeiro,-22.9068467,-43.1728965
278,Joris  Beckers,,0,0
279,Beth  Bee,East Carolina University,29.0254798,-81.2826216
280,Ferenc  Gyuris,Eotvos Lorand University, Dept of Regional Science, Budapest (Hungary),47.497912,19.040235
281,Mark  Hunter,University of Toronto,43.659598,-79.3947916
282,Paul  Adderley,University of Stirling,56.1495541,-3.9182213
283,Christine  Barnes,King's College London,51.5119334,-0.1164836
284,Andrea L. Miller,University of California - Davis,38.5400714,-121.7715459
285,Alison M. Gill,Simon Fraser University,0,0
286,Karen  Rignall,,0,0
287,Jeanne  Gobalet,Lapkoff & Gobalet Demographic Research, Inc.,0,0
288,Matthew  Turner,University of Wisconsin-Madison,43.0412831,-89.4301473
289,Chelsea  Nestel,University of Wisconsin - Madison,43.0412831,-89.4301473
290,Kara K.L. Costanza,University of Maine,44.3396962,-69.7951875
291,Teresa  Caldeira,University of California, Berkeley,37.8764984,-122.2804342
292,Mark  Birkin,University of Leeds,28.0637104,-82.4315563
293,Desalegn Wana Dalacho,Addis Ababa University,9.044694699999999,38.7592327
294,Rebecca  Clouser,Washington University in St. Louis,38.6846489,-90.3308854
295,Michelle  Saunders,University of South Florida,39.6893406,-104.9687315
296,Peter H. Herlihy,University of Kansas,38.8991444,-94.72548929999999
297,Geoffrey P. DeVerteuil,Cardiff University,51.4919075,-3.1868361
298,Maura  McGee,CUNY - Graduate Center,0,0
299,Clark Russell Taylor,University of California - Los Angeles,34.0400757,-118.2551016
300,Adrian N. Mulligan,Bucknell University,40.9575845,-76.9083
301,Andrew  Milson,University of Texas - Arlington,32.7297417,-97.1155825
302,Jennifer A. Miller,University of Texas at Austin,30.2850284,-97.7335226
303,Brian  Pompeii,California Polytechnic State University, San Luis Obispo,0,0
304,CORINNE  BLANQUART,IFSTTAR,50.608071,3.1321847
305,Murray  Rice,University of North Texas,33.69462499999999,-101.871167
306,Scott  Lougheed,Queen's University,40.7282239,-73.7948516
307,Amanda  Stan,Northern Arizona University,34.4974836,-114.3412464
308,Jennifer  Sherman,Washington State University,40.835219,-77.8097999
309,You-tien  Hsing,University Of California at Berkeley,37.8706401,-122.2797647
310,William George Lovell,Queen's University,40.7282239,-73.7948516
311,William A. Peterman,Chicago State University,41.8582045,-87.62715
312,Lesley M. Head,University Of Wollongong,-34.4112787,150.8849642
313,Emily Leah Reisman,,0,0
314,David  Wilson,University Of Illinois,33.4244796,-111.8855555
315,Jacqueline A. Housel,Sinclair Community College,0,0
316,Ellen  Hostetter,University of Central Arkansas,39.6912568,-105.0015614
317,Peter  Lindner,University of Frankfurt,50.1306302,8.692718899999999
318,Tim  Harms,,0,0
319,Gillian  Hart,University of California, Berkeley,37.8764984,-122.2804342
320,Faranak  Miraftab,Univbersity of Illinois,14.6284611,121.0591133
321,Richard  Shaker,Ryerson University,49.7866568,-97.14373019999999
322,Sandra  Zupan,Temple University,39.980825,-75.1495788
323,Alexandria G. McCombs,University of South Carolina,39.70935739999999,-104.9444815
324,Clark  Akatiff,City of Palo Alto,37.4418834,-122.1430195
325,Alice  Beban,Cornell University,33.6493852,-117.8355156
326,Oded  Haas,York University,43.776279,-79.500519
327,Renee  Sieber,McGill University,49.7975879,-97.1465173
328,Zsuzsa  Millei,University of Tampere,61.4977524,23.7609535
329,William  McCarthy,Zayed University,25.104476,55.166916
330,Vasna  Ramasar,Lund University,28.0846428,-80.631022
331,Alain  Thierstein,Munich University of Technology,48.14957709999999,11.5671215
332,Julie  Clark,University of Glasgow,55.87151,-4.288761
333,Jung-Ying  Chang,National Taipei University,0,0
334,Brian  Marks,Louisiana State University,31.74039,-93.127179
335,Lisa Rainey Brownell,Ohio State Historic Preservation Office,40.4172871,-82.90712300000001
336,Kevin  Hillmer-Pegram,University of Alaska Fairbanks,64.85981319999999,-147.7764499
337,Klaus J. Meyer-Arendt,University of West Florida,28.0653332,-82.48322879999999
338,Steven William Thrasher,New York University,31.77750799999999,-106.496973
339,Lawrence  Cohen,University of California - Berkeley,37.8764984,-122.2804342
340,Ariel  Otruba,Rutgers University,43.1457668,-77.58707679999999
341,Audrey  Grismore,Louisiana State University,31.74039,-93.127179
342,Julian  Barr,University of Washington,14.6032462,121.043633
343,Julie  Watson,Oregon State University,44.0287525,-123.0751096
344,Katie  Butler,San Diego State University,32.7279087,-117.1689358
345,Darla  Munroe,Ohio State University,39.9993865,-83.0227103
346,Matthew  Jamieson,USGS,38.690606,-122.0669356
347,Lizzie  Richardson,University of Cambridge,52.20166709999999,0.1177882
348,Bo  Zhao,Harvard University,42.3800977,-71.1166286
349,Joseph  Ferreira,MIT,36.3665027,140.4709965
350,Julie  Urbanik,,0,0
351,Joann  Mossa,University of Florida,28.0735403,-82.43735889999999
352,Yehua Dennis Wei,University of Utah,33.4249307,-111.8884532
353,Kelly  Lemmons,Tarleton State University,32.2403279,-98.20421119999999
354,Tracie Anne Caller,Dartmouth College,41.92479,-91.65144590000001
355,Cecilie  Sachs Olsen,Queen Mary University of London,51.51694089999999,-0.05910220000000001
356,Philippe  Le Billon,University of British Columbia,43.631679,-79.427313
357,D. Asher  Ghertner,Rutgers University,43.1457668,-77.58707679999999
358,Eric S. Sheppard,UCLA,40.5382913,-78.3528584
359,Md Azmeary  Ferdoush,University of Hawaii - Manoa,21.3072003,-157.8123004
360,David  Haynes,University of Minnesota,46.9059,-95.05889999999999
361,Mark  Holton,Plymouth University,33.7086471,-117.7650497
362,Ilse  Helbrecht,Humboldt University Berlin,52.4321218,13.5333041
363,Gines  Sanchez,Louisiana State University,31.74039,-93.127179
364,Brendan Alexander Harmon,NC State University,35.2403389,-80.86781379999999
365,Ilan  Kapoor,,0,0
366,Nicholas O. Ronnei,Michigan State,44.3148443,-85.60236429999999
367,Ashley Elizabeth Manning,Western University,33.2182401,-96.68111309999999
368,Lin  Zhang,,0,0
369,Zachary  Anderson,University of Toronto,43.659598,-79.3947916
370,Jed  Long,University of St Andrews,56.3412112,-2.7930852
371,Roger  Norum,,0,0
372,Bjornar  Sather,University Of Oslo,14.6712421,121.0936889
373,Peter J. Taylor,Loughborough University,52.7686355,-1.2189891
374,J. M.  Pogodzinski,San Jose State University,37.3229926,-121.8832
375,Erica  Kohl-Arenas,The New School,56.5206923,-2.8583087
376,Lucy  Jarosz,University of Washington,14.6032462,121.043633
377,Lin  Liu,University of Cincinnati,31.7801651,-106.4981503
378,Sabina  Bergstén,Ume? University,63.8258471,20.2630354
379,DEPREZ  Samuel,University of Le Havre - France,0,0
380,Samuel  Adu-Prah,Sam Houston State University,0,0
381,Susan  Walcott,,0,0
382,Julia  Ekstrom,University of California - Davis,38.5400714,-121.7715459
383,Katherine J. Heslop,University of Nevada,Reno,39.5440732,-119.8145014
384,Keeley  Heise,,0,0
385,Felix  Hartenstein,Technische Universit?t Berlin,52.5121328,13.3270033
386,Erin  Sanders-McDonagh,Middlesex University,51.6584741,-0.1362777
387,Joseph  Palis,University of the Philippines-Diliman,14.6526624,121.065041
388,Judith  Namanya,Michigan State University,42.726655,-84.46992999999999
389,Heather  Arata,,0,0
390,Kathleen Mary O'Reilly,Texas A&M University,29.7058082,-95.4062268
391,Jennie  Germann Molz,College of the Holy Cross,42.2417932,-71.8121855
392,Panu  Lehtovuori,Tampere University of Technology,61.4977524,23.7609535
393,Xiaobo  Su,University of Oregon,33.4239891,-111.8867174
394,Margaret  Carrel,University of Iowa,33.4242541,-111.8891072
395,Filippo  Barbera,University of Torino,45.070312,7.686856499999999
396,Corey  Johnson,University of North Carolina - Greensboro,36.0881216,-79.79030759999999
397,Lorraine  Dowler,Penn State University,40.8072337,-77.8608888
398,Christiane  Tristl,,0,0
399,James  Igoe,Dartmouth College,41.92479,-91.65144590000001
400,Travis  Poitras,USGS,38.690606,-122.0669356
401,Jennifer  Greenburg,University of California Berkeley,37.8764984,-122.2804342
402,André  Jansson,Karlstad University,59.4021806,13.5114977
403,Zhipeng  Gui,Wuhan Univeristy,30.5390663,114.3547099
404,Dawn J. Wright,Esri,12.824332,80.195189
405,Emma Shaw Crane,New York University,31.77750799999999,-106.496973
406,Peter M. Brogan,York University,43.776279,-79.500519
407,Paul C. Adams,University of Texas at Austin,30.2850284,-97.7335226
408,Valery J. Terwilliger,University of Kansas,38.8991444,-94.72548929999999
409,Merje  Kuus,University Of British Columbia,43.631679,-79.427313
410,Nancy  Ross,McGill University,49.7975879,-97.1465173
411,Xun  Shi,Dartmouth College,41.92479,-91.65144590000001
412,Marco  Antonsich,,0,0
413,Claire  Stone,Texas State University - San Marcos,0,0
414,Richard  Shearmur,McGill University,49.7975879,-97.1465173
415,Silvia Laine Borges,University of Brasilia,14.605552,121.0960994
416,Tom  Saladyga,Concord University,43.6627762,-79.42725799999999
417,Matthew W. Wilson,Harvard University,42.3800977,-71.1166286
418,Chris  Castagna,California State University, Sacramento,38.5610839,-121.4214297
419,James A. Tyner,Kent State University,40.8660767,-81.4377035
420,Herman  Kok,Multi / ODTU,0,0
421,Maria  Ivanova,,0,0
422,Friedrich M. Zimmermann,University of Graz,47.0777993,15.4499838
423,Cheryl  Teelucksingh,Ryerson University,49.7866568,-97.14373019999999
424,Sharad  Chari,University of the Witwatersrand,-26.1800289,28.0437484
425,William A. Wetherholt,Kansas State University,37.7730018,-100.0044056
426,Joanna  Elvy,University of Leeds,28.0637104,-82.4315563
427,William  Gribb,University Of Wyoming,31.77378349999999,-106.4727473
428,Sarah  Whitley,California State University, Fresno,34.007748,-117.370175
429,Komalirani  Yenneti,Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences,32.060255,118.796877
430,XIANG  ZHANG,University of Kansas,38.8991444,-94.72548929999999
431,YUN  LI,Shenzhen University,22.5350039,113.939567
432,Mun Young  Cho,,0,0
433,Jason  Dittmer,University College London,51.5247063,-0.1335692
434,Jamie  Vanucchi,,0,0
435,Alison  Mountz,Wilfrid Laurier University,43.51908,-80.23027429999999
436,David  Woo,Califronia State University East Bay,33.6426086,-117.905872
437,Daniel  Kunches,Pennsylvania State University,40.7933949,-77.8600012
438,Taylor  Hauser,,0,0
439,Ceri  Morgan,Keele University,53.0039516,-2.274598300000001
440,Sopheak  Chann,Sydney University,14.6098958,121.1009129
441,Jasper Hessel Heslinga,University of Groningen,53.2193835,6.566501799999999
442,Kathleen  Guillozet,Marylhurst University,31.5274009,-97.1276962
443,Roger  Keil,YORK UNIVERSITY,43.776279,-79.500519
444,Grover  Wehman-Brown,University of North Carolina - Chapel Hill,35.7889571,-78.72114499999999
445,Lauren Elizabeth Ware Stark,University of Virginia,14.669908,121.0398411
446,Jorn  Seemann,Ball State University,40.1981185,-85.4114915
447,Simona  Epasto,University of Macerata,43.2984268,13.4534767
